mmu00010,Glycolysis / Gluconeogenesis
13098,Cyp2c39
13099,Cyp2c40
226143,Cyp2c23
13095,Cyp2c29
226105,Cyp2c70
13096,Cyp2c37
72082,Cyp2c55
72303,Cyp2c65
69888,Cyp2c66
107141,Cyp2c50
404195,Cyp2c54
433247,Cyp2c68
56448,Cyp2d22
13105,Cyp2d9
13101,Cyp2d10
76279,Cyp2d26
223706,Cyp2d34
380997,Cyp2d12
545123,Cyp2d11
71754,Cyp2d40
13112,Cyp3a11
13113,Cyp3a13
13114,Cyp3a16
56388,Cyp3a25
53973,Cyp3a41a
337924,Cyp3a44
100041375,Cyp3a41b
13106,Cyp2e1
13078,Cyp1b1
13075,Cyp19a1
13122,Cyp7a1
22238,Ugt2b5
22236,Ugt1a2
94284,Ugt1a6a
94215,Ugt2a1
394434,Ugt1a9
394430,Ugt1a10
394432,Ugt1a7c
394433,Ugt1a5
72094,Ugt2a3
552899,Ugt2a2
71773,Ugt2b1
394435,Ugt1a6b
394436,Ugt1a1
100727,Ugt2b34
231396,Ugt2b36
100559,Ugt2b38
112417,Ugt2b37
243085,Ugt2b35
12846,Comt
791260,Tomt
15487,Hsd17b3
mmu00190,Oxidative phosphorylation
17716,ND1
17717,ND2
17718,ND3
17719,ND4
17720,ND4L
17721,ND5
17722,ND6
227197,Ndufs1
226646,Ndufs2
68349,Ndufs3
17993,Ndufs4
595136,Ndufs5
407785,Ndufs6
75406,Ndufs7
225887,Ndufs8
17995,Ndufv1
72900,Ndufv2
78330,Ndufv3
54405,Ndufa1
17991,Ndufa2
66091,Ndufa3
17992,Ndufa4
407790,Ndufa4l2
68202,Ndufa5
67130,Ndufa6
66416,Ndufa7
68375,Ndufa8
66108,Ndufa9
67273,Ndufa10
70316,Ndufab1
69875,Ndufa11
66414,Ndufa12
67184,Ndufa13
68198,Ndufb2
66495,Ndufb3
68194,Ndufb4
100042503,Ndufb4b
100041273,Ndufb4c
66046,Ndufb5
230075,Ndufb6
66916,Ndufb7
67264,Ndufb8
66218,Ndufb9
68342,Ndufb10
104130,Ndufb11
66377,Ndufc1
68197,Ndufc2
66945,Sdha
67680,Sdhb
66052,Sdhc
66925,Sdhd
66694,Uqcrfs1
17711,CYTB
66445,Cyc1
22273,Uqcrc1
67003,Uqcrc2
66576,Uqcrh
67530,Uqcrb
22272,Uqcrq
66152,Uqcr10
66594,Uqcr11
70383,Cox10
17710,COX3
17708,COX1
17709,COX2
12857,Cox4i1
84682,Cox4i2
12858,Cox5a
12859,Cox5b
12861,Cox6a1
12862,Cox6a2
110323,Cox6b1
333182,Cox6b2
12864,Cox6c
12866,Cox7a2
12865,Cox7a1
20463,Cox7a2l
66142,Cox7b
78174,Cox7b2
12867,Cox7c
12868,Cox8a
12869,Cox8b
75483,Cox8c
69802,Cox11
226139,Cox15
12856,Cox17
11946,Atp5a1
11947,Atp5b
11949,Atp5c1
66043,Atp5d
67126,Atp5e
28080,Atp5o
17705,ATP6
11950,Atp5pb
11951,Atp5g1
67942,Atp5g2
228033,Atp5g3
71679,Atp5h
11958,Atp5k
57423,Atp5j2
27425,Atp5l
11957,Atp5j
17706,ATP8
11964,Atp6v1a
11966,Atp6v1b2
110935,Atp6v1b1
66335,Atp6v1c1
68775,Atp6v1c2
73834,Atp6v1d
11973,Atp6v1e1
74915,Atp6v1e2
66144,Atp6v1f
66237,Atp6v1g2
66290,Atp6v1g1
338375,Atp6v1g3
108664,Atp6v1h
11975,Atp6v0a1
21871,Atp6v0a2
27060,Tcirg1
140494,Atp6v0a4
11984,Atp6v0c
114143,Atp6v0b
11972,Atp6v0d1
242341,Atp6v0d2
11974,Atp6v0e
76252,Atp6v0e2
54411,Atp6ap1
11944,Atp4a
11945,Atp4b
192113,Atp12a
67895,Ppa1
74776,Ppa2
76429,Lhpp
mmu00220,Arginine biosynthesis
18416,Otc
11898,Ass1
109900,Asl
11846,Arg1
11847,Arg2
18125,Nos1
18126,Nos2
18127,Nos3
216456,Gls2
14660,Gls
14645,Glul
14661,Glud1
227231,Cps1
14718,Got1
14719,Got2
108682,Gpt2
76282,Gpt
217214,Nags
109652,Acy1
mmu00230,Purine metabolism
74167,Nudt9
66358,Adprm
53893,Nudt5
72157,Pgm1
66681,Pgm2
19139,Prps1
110639,Prps2
328099,Prps1l3
75456,Prps1l1
231327,Ppat
14450,Gart
237823,Pfas
67054,Paics
11564,Adsl
108147,Atic
11821,Aprt
76952,Nt5c2
107569,Nt5c3
70881,Nt5c1b
230718,Nt5c1a
50773,Nt5c
103850,Nt5m
68106,Nt5c3b
66763,Nt5el
23959,Nt5e
18950,Pnp
667034,Pnp2
15452,Hprt
23917,Impdh1
23918,Impdh2
54369,Nme6
18103,Nme2
56520,Nme4
79059,Nme3
171567,Nme7
18102,Nme1
633979,Ak9
12495,Entpd1
215446,Entpd3
72090,Entpd8
76025,Cant1
67464,Entpd4
100862375,Entpd4b
12499,Entpd5
12497,Entpd6
75686,Nudt16
73532,Nudt16l2
16434,Itpa
22436,Xdh
66401,Nudt2
229363,Gmps
66355,Gmpr
105446,Gmpr2
14544,Gda
14923,Guk1
18746,Pkm
18770,Pklr
20133,Rrm1
382985,Rrm2b
20135,Rrm2
27369,Dguok
68695,Hddc3
229589,Prune1
432530,Adcy1
210044,Adcy2
104111,Adcy3
104110,Adcy4
224129,Adcy5
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
271639,Adcy10
60596,Gucy1a1
234889,Gucy1a2
239134,Gucy1b2
54195,Gucy1b1
14917,Gucy2c
14919,Gucy2e
14918,Gucy2d
245650,Gucy2f
73707,Gucy2g
18160,Npr1
230103,Npr2
18573,Pde1a
18574,Pde1b
18575,Pde1c
207728,Pde2a
54611,Pde3a
18576,Pde3b
242202,Pde5a
225600,Pde6a
18587,Pde6b
110855,Pde6c
18582,Pde6d
18588,Pde6g
78600,Pde6h
18585,Pde9a
23984,Pde10a
241489,Pde11a
11565,Adssl1
11566,Adss
11717,Ampd3
109674,Ampd2
229665,Ampd1
11534,Adk
13178,Dck
11486,Ada
11637,Ak2
11639,Ak4
11636,Ak1
229949,Ak5
78801,Ak7
68870,Ak8
102216272,Ak6
56248,Ak3
12496,Entpd2
66566,Ntpcr
18577,Pde4a
18578,Pde4b
110385,Pde4c
238871,Pde4d
18583,Pde7a
29863,Pde7b
218461,Pde8b
18584,Pde8a
14198,Fhit
224794,Enpp4
23972,Papss2
23971,Papss1
18605,Enpp1
209558,Enpp3
22262,Uox
76974,Urah
231903,Urad
94041,Allc
mmu00232,Caffeine metabolism
13077,Cyp1a2
17960,Nat1
17961,Nat2
17962,Nat3
22436,Xdh
22262,Uox
mmu00240,Pyrimidine metabolism
69719,Cad
56749,Dhodh
22247,Umps
66588,Cmpk1
22169,Cmpk2
54369,Nme6
18103,Nme2
56520,Nme4
79059,Nme3
171567,Nme7
18102,Nme1
633979,Ak9
12495,Entpd1
215446,Entpd3
72090,Entpd8
76025,Cant1
67464,Entpd4
100862375,Entpd4b
12499,Entpd5
12497,Entpd6
51797,Ctps
55936,Ctps2
80914,Uck2
22245,Uck1
68556,Uckl1
76952,Nt5c2
107569,Nt5c3
70881,Nt5c1b
230718,Nt5c1a
50773,Nt5c
103850,Nt5m
68106,Nt5c3b
66763,Nt5el
23959,Nt5e
22271,Upp1
76654,Upp2
331487,Uprt
99586,Dpyd
64705,Dpys
103149,Upb1
18605,Enpp1
